number,state,value,latent_dim,hidden1,hidden2,recon_mse,silhouette,calinski,davies,n_clusters_found,noise_ratio,largest_cluster_size,smallest_cluster_size,largest_share,size_ratio,penalty_small_k,penalty_imbalance,penalty_tiny_cluster,objective_value,batch_size,epochs,lr,algo,n_clusters,gmm_covariance_type,gmm_reg_covar,birch_threshold,birch_branching_factor,dbscan_eps,dbscan_min_samples,dbscan_metric,agglo_linkage,agglo_metric,spectral_affinity,spectral_n_neighbors,spectral_gamma
277,TrialState.COMPLETE,1247.768839678819,2,256,32,0.015604352987280756,0.5280119776725769,1357.0955810546875,0.4533182923355458,12.0,0.0,26.0,2.0,0.16666666666666666,13.0,0.0,1.466337068793427,1.0,1247.768839678819,32.0,122.0,0.00011516196695480363,agglo,12.0,,,,,,,,ward,,,,
10,TrialState.COMPLETE,1245.5740327002072,2,256,32,0.015595772979137251,0.5653886795043945,1351.5596923828125,0.4338283979205532,12.0,0.0,22.0,2.0,0.14102564102564102,11.0,0.0,1.2992829841302609,1.0,1245.5740327002072,32.0,108.0,0.00011635711727477803,agglo,12.0,,,,,,,,ward,,,,
291,TrialState.COMPLETE,1230.7050731582244,2,256,32,0.015635548203142276,0.562026858329773,1340.78662109375,0.41812100124681595,12.0,0.0,27.0,2.0,0.17307692307692307,13.5,0.0,1.5040773967762742,1.0,1230.7050731582244,32.0,109.0,0.00011001211758890041,agglo,12.0,,,,,,,,ward,,,,
238,TrialState.COMPLETE,1214.9584911269744,2,256,32,0.01543305997634694,0.557896614074707,1325.0400390625,0.43991509753523056,12.0,0.0,27.0,2.0,0.17307692307692307,13.5,0.0,1.5040773967762742,1.0,1214.9584911269744,32.0,134.0,0.00012117016405226542,kmeans,12.0,,,,,,,,,,,,
11,TrialState.COMPLETE,1210.9313325048947,2,256,32,0.01570887064814539,0.5387211441993713,1316.9169921875,0.4585299721816214,12.0,0.0,22.0,2.0,0.14102564102564102,11.0,0.0,1.2992829841302609,1.0,1210.9313325048947,32.0,109.0,0.00010744945291758903,agglo,12.0,,,,,,,,ward,,,,
32,TrialState.COMPLETE,1204.0347267292163,2,256,32,0.015558636839177093,0.5396778583526611,1218.553466796875,0.4783047422247384,11.0,0.0,31.0,5.0,0.1987179487179487,6.2,0.0,0.7259370033829363,0.0,1204.0347267292163,32.0,118.0,0.00012629254763863685,agglo,11.0,,,,,,,,ward,,,,
220,TrialState.COMPLETE,1202.2739497270022,2,256,32,0.015615881827055532,0.5457574725151062,1215.4588623046875,0.4797350983270982,11.0,0.0,29.0,5.0,0.1858974358974359,5.8,0.0,0.659245628884264,0.0,1202.2739497270022,32.0,124.0,0.00010643367959080319,agglo,11.0,,,,,,,,ward,,,,
297,TrialState.COMPLETE,1197.7849433950096,2,256,32,0.015504590557519187,0.5532248020172119,1306.3272705078125,0.44792848520692247,12.0,0.0,25.0,2.0,0.16025641025641027,12.5,0.0,1.4271163556401458,1.0,1197.7849433950096,32.0,145.0,0.00010004305909734367,agglo,12.0,,,,,,,,ward,,,,
226,TrialState.COMPLETE,1193.373960509182,2,256,32,0.015540571114025696,0.5273664593696594,1304.182861328125,0.4824744744187593,12.0,0.0,28.0,2.0,0.1794871794871795,14.0,0.0,1.540445040947149,1.0,1193.373960509182,32.0,130.0,0.00011546194098047572,kmeans,12.0,,,,,,,,,,,,
222,TrialState.COMPLETE,1192.0623975388646,2,256,32,0.015715277404927053,0.5350648760795593,1192.9927978515625,0.49064762668278816,11.0,0.0,22.0,7.0,0.14102564102564102,3.142857142857143,0.0,0.04652001563489291,0.0,1192.0623975388646,32.0,104.0,0.00011458169627769105,agglo,11.0,,,,,,,,ward,,,,
215,TrialState.COMPLETE,1180.2810371450096,3,128,64,0.014337508200593306,0.5569233298301697,1288.8233642578125,0.4461928677805607,12.0,0.0,25.0,2.0,0.16025641025641027,12.5,0.0,1.4271163556401458,1.0,1180.2810371450096,32.0,117.0,0.00016235632541213696,agglo,12.0,,,,,,,,ward,,,,
254,TrialState.COMPLETE,1176.0381450794946,2,128,32,0.01546501277597008,0.561519205570221,1286.8470458984375,0.43000698832174644,11.0,0.0,28.0,2.0,0.1794871794871795,14.0,0.0,1.540445040947149,1.0,1176.0381450794946,32.0,101.0,0.00012758156807269203,agglo,11.0,,,,,,,,ward,,,,
12,TrialState.COMPLETE,1154.360035175677,2,256,32,0.015523072105827086,0.5592473149299622,1165.3609619140625,0.48403600207200437,9.0,0.0,26.0,5.0,0.16666666666666666,5.2,0.0,0.550046336919272,0.0,1154.360035175677,32.0,121.0,0.00011942031771254431,kmeans,9.0,,,,,,,,,,,,
136,TrialState.COMPLETE,1151.7411297178814,2,256,32,0.01573485345238804,0.5349695086479187,1261.06787109375,0.4628813845567567,12.0,0.0,26.0,2.0,0.16666666666666666,13.0,0.0,1.466337068793427,1.0,1151.7411297178814,32.0,100.0,0.00010875493006308099,agglo,12.0,,,,,,,,ward,,,,
211,TrialState.COMPLETE,1119.75048828125,4,256,32,0.00477007104071623,0.8168982863426208,1199.75048828125,0.19443571622384803,22.0,0.6602564102564102,3.0,2.0,0.05660377358490566,1.5,0.0,0.0,1.0,1119.75048828125,32.0,105.0,0.0016896748668114212,dbscan,,,,,,0.2491075162371259,2.0,manhattan,,,,,
243,TrialState.COMPLETE,1113.016544418227,3,128,64,0.01496053138111425,0.5504519939422607,1220.742431640625,0.44623111558295586,11.0,0.0,24.0,2.0,0.15384615384615385,12.0,0.0,1.3862943611198906,1.0,1113.016544418227,32.0,101.0,0.00013184791471912777,agglo,11.0,,,,,,,,ward,,,,
181,TrialState.COMPLETE,1091.181827621352,2,128,64,0.014711778112726935,0.5770919919013977,1198.90771484375,0.4412466985822914,11.0,0.0,24.0,2.0,0.15384615384615385,12.0,0.0,1.3862943611198906,1.0,1091.181827621352,32.0,107.0,0.0001584718137827875,agglo,11.0,,,,,,,,ward,,,,
256,TrialState.COMPLETE,1067.3515837149093,2,256,32,0.010249482980922672,0.5715770721435547,1434.05908203125,0.3847465209783649,12.0,0.0,31.0,1.0,0.1987179487179487,31.0,0.0,2.3353749158170367,4.0,1067.3515837149093,8.0,104.0,0.00014315478290519444,agglo,12.0,,,,,,,,ward,,,,
251,TrialState.COMPLETE,1033.4431801604146,2,256,32,0.015880970560193965,0.495907723903656,1141.1690673828125,0.4879810972751888,12.0,0.0,24.0,2.0,0.15384615384615385,12.0,0.0,1.3862943611198906,1.0,1033.4431801604146,32.0,87.0,0.00010691253558028083,agglo,12.0,,,,,,,,complete,euclidean,,,
